Scholarship_Name,Scholarship_Type,Required_GPA,Scholarship_Budget,Scholarship_Level,Country_of_Scholarship,Eligible_Domain
Scholarship40,Merit-Based,3.0,3500.0,BS,Pakistan,Finance
Scholarship41,Merit-Based,2.5,6000.0,BS,Canada,Medical Science
Scholarship42,Need-Based,2.0,6500.0,Masters,Australia,Medical Research
Scholarship43,Merit-Based,2.5,1000.0,PhD,United Kingdom,Medical Science
Scholarship44,Merit-Based,2.0,5000.0,BS,USA,Medical Science
Scholarship45,Merit-Based,3.0,5000.0,Masters,United States,CS
Scholarship46,Merit-Based,2.0,3500.0,BS,Pakistan,Software Engineering
Scholarship47,Merit-Based,3.0,2000.0,BS,United States,History
Scholarship48,Need-Based,2.0,4000.0,Masters,Canada,Medical Research
Scholarship49,Need-Based,3.0,2500.0,Masters,UK,Fine Arts
Scholarship50,Need-Based,3.0,4000.0,Masters,Australia,Electrical Engineering
Scholarship51,Merit-Based,3.0,3500.0,PhD,Australia,Computer Science
Scholarship52,Merit-Based,3.0,6000.0,Masters,UK,Electrical Engineering
Scholarship53,Merit-Based,2.0,8000.0,BS,Canada,Business Administration
Scholarship54,Merit-Based,2.5,9500.0,PhD,UK,Medical Science
Scholarship55,Need-Based,2.0,5500.0,Masters,Pakistan,SE
Scholarship56,Merit-Based,2.5,3000.0,BS,Pakistan,Medical Science
Scholarship57,Need-Based,2.5,4000.0,Masters,United States,SE
Scholarship58,Merit-Based,2.5,9500.0,Masters,Pakistan,Finance
Scholarship59,Need-Based,2.5,7000.0,PhD,Australia,Software Engineering
Scholarship60,Need-Based,2.5,8500.0,Masters,Australia,CS
Scholarship61,Need-Based,2.5,8500.0,PhD,United States,Finance
Scholarship62,Merit-Based,2.0,1000.0,Masters,United Kingdom,CS
Scholarship63,Merit-Based,2.5,1500.0,Masters,Australia,Software Engineering
Scholarship64,Merit-Based,3.0,500.0,BS,UK,Fine Arts
Scholarship65,Need-Based,2.0,8000.0,BS,UK,CS
Scholarship66,Need-Based,3.0,8000.0,PhD,UK,History
Scholarship67,Merit-Based,2.5,4000.0,BS,United States,Business Administration
Scholarship68,Merit-Based,3.0,3000.0,BS,Australia,CS
Scholarship69,Merit-Based,3.0,5000.0,Masters,United States,Chemistry
Scholarship70,Need-Based,2.5,4500.0,Masters,Canada,Electrical Engineering
Scholarship71,Merit-Based,3.0,1500.0,BS,USA,History
Scholarship72,Merit-Based,2.0,1000.0,PhD,Australia,Chemistry
Scholarship73,Merit-Based,2.0,6000.0,PhD,Canada,CS
Scholarship74,Need-Based,2.5,1000.0,Masters,Australia,Chemistry
Scholarship75,Need-Based,3.0,500.0,Masters,USA,SE
Scholarship76,Merit-Based,3.0,8500.0,PhD,United States,Finance
Scholarship77,Merit-Based,3.0,1000.0,BS,Australia,Fine Arts
Scholarship78,Merit-Based,2.5,8500.0,BS,Canada,SE
Scholarship79,Need-Based,3.0,2000.0,BS,Canada,Medical Science
Scholarship80,Need-Based,3.0,7500.0,PhD,United Kingdom,Finance
Scholarship81,Need-Based,2.0,6000.0,PhD,USA,Business Administration
Scholarship82,Need-Based,3.0,5000.0,Masters,Canada,Fine Arts
Scholarship83,Need-Based,3.0,1500.0,BS,United Kingdom,Medical Science
Scholarship84,Need-Based,2.0,7500.0,PhD,United Kingdom,CS
Scholarship85,Merit-Based,3.0,500.0,BS,UK,History
Scholarship86,Need-Based,2.0,1000.0,BS,Australia,Chemistry
Scholarship87,Need-Based,3.0,500.0,BS,UK,Fine Arts
Scholarship88,Need-Based,2.5,4000.0,Masters,Australia,Fine Arts
Scholarship89,Need-Based,3.0,6500.0,PhD,USA,Electrical Engineering
Scholarship90,Need-Based,3.0,500.0,Masters,United States,Finance
Scholarship91,Merit-Based,3.0,3500.0,BS,Australia,Computer Science
Scholarship92,Need-Based,2.0,1500.0,PhD,Canada,Finance
Scholarship93,Need-Based,2.5,500.0,PhD,USA,CS
Scholarship94,Need-Based,3.0,6000.0,Masters,Australia,Finance
Scholarship95,Need-Based,2.0,3000.0,PhD,USA,Electrical Engineering
Scholarship96,Merit-Based,2.0,5500.0,Masters,USA,Computer Science
Scholarship97,Need-Based,3.0,7000.0,BS,Canada,Physics
Scholarship98,Need-Based,2.5,4500.0,BS,United Kingdom,Software Engineering
Scholarship99,Merit-Based,2.0,9000.0,PhD,Canada,Fine Arts
Scholarship100,Need-Based,2.0,2000.0,Masters,Canada,History
Scholarship101,Merit-Based,2.5,3500.0,PhD,Pakistan,SE
Scholarship102,Need-Based,2.5,1000.0,BS,UK,Chemistry
Scholarship103,Need-Based,2.0,5500.0,PhD,Canada,Finance
Scholarship104,Need-Based,3.0,5000.0,PhD,UK,CS
Scholarship105,Need-Based,2.0,8000.0,BS,USA,Electrical Engineering
Scholarship106,Merit-Based,2.5,7000.0,Masters,Pakistan,Fine Arts
Scholarship107,Need-Based,2.0,5000.0,Masters,United States,Finance
Scholarship108,Merit-Based,2.5,8000.0,PhD,Australia,Electrical Engineering
Scholarship109,Need-Based,3.0,1000.0,PhD,United States,SE
Scholarship110,Merit-Based,3.0,2500.0,Masters,Pakistan,CS
Scholarship111,Need-Based,2.0,9000.0,PhD,Australia,Software Engineering
Scholarship112,Need-Based,2.5,9500.0,Masters,United States,SE
Scholarship113,Need-Based,3.0,9000.0,Masters,Canada,Business Administration
Scholarship114,Need-Based,2.0,4500.0,PhD,Australia,Software Engineering
Scholarship115,Merit-Based,2.5,7500.0,Masters,Pakistan,Finance
Scholarship116,Merit-Based,3.0,5500.0,Masters,United Kingdom,Software Engineering
Scholarship117,Need-Based,2.5,5000.0,BS,United States,Physics
Scholarship118,Need-Based,2.5,9000.0,Masters,Canada,SE
Scholarship119,Merit-Based,2.0,3000.0,BS,Pakistan,Fine Arts
Scholarship120,Merit-Based,2.5,500.0,Masters,Australia,CS
Scholarship121,Merit-Based,2.0,1000.0,PhD,United States,Medical Science
Scholarship122,Merit-Based,2.0,1000.0,BS,USA,SE
Scholarship123,Merit-Based,2.5,9000.0,PhD,United Kingdom,Chemistry
Scholarship124,Merit-Based,2.0,9000.0,PhD,UK,Medical Science
Scholarship125,Merit-Based,2.5,4000.0,PhD,Pakistan,Electrical Engineering
Scholarship126,Need-Based,3.0,7000.0,Masters,Pakistan,Finance
Scholarship127,Need-Based,3.0,5500.0,BS,United Kingdom,SE
Scholarship128,Merit-Based,2.5,500.0,Masters,United States,Medical Science
Scholarship129,Merit-Based,2.5,4500.0,BS,Pakistan,Business Administration
Scholarship130,Need-Based,2.0,2000.0,PhD,Pakistan,Electrical Engineering
Scholarship131,Need-Based,2.0,9000.0,BS,Canada,Business Administration
Scholarship132,Need-Based,2.5,1000.0,Masters,Australia,Business Administration
Scholarship133,Merit-Based,2.0,2000.0,PhD,Pakistan,Fine Arts
Scholarship134,Need-Based,2.0,9500.0,Masters,United States,Medical Research
Scholarship135,Merit-Based,2.5,8000.0,PhD,United States,Software Engineering
Scholarship136,Need-Based,3.0,3500.0,PhD,UK,Physics
Scholarship137,Need-Based,2.5,500.0,BS,United Kingdom,Medical Research
Scholarship138,Need-Based,3.0,4500.0,Masters,United Kingdom,Software Engineering
Scholarship139,Need-Based,2.0,4500.0,Masters,Pakistan,CS
Scholarship140,Need-Based,2.0,500.0,PhD,United Kingdom,Computer Science
Scholarship141,Merit-Based,2.5,2500.0,PhD,United Kingdom,Fine Arts
Scholarship142,Need-Based,3.0,6000.0,PhD,Pakistan,Medical Research
Scholarship143,Need-Based,2.0,9500.0,Masters,United Kingdom,Software Engineering
Scholarship144,Need-Based,2.5,2500.0,BS,USA,Medical Science
Scholarship145,Merit-Based,3.0,4500.0,BS,Pakistan,History
Scholarship146,Merit-Based,2.5,5500.0,Masters,Pakistan,Software Engineering
Scholarship147,Need-Based,2.5,2000.0,PhD,UK,CS
Scholarship148,Need-Based,3.0,7500.0,BS,Canada,CS
Scholarship149,Merit-Based,2.0,8500.0,Masters,Australia,Software Engineering
Scholarship150,Merit-Based,3.0,1000.0,Masters,USA,Fine Arts
Scholarship151,Need-Based,2.0,7500.0,BS,USA,Software Engineering
Scholarship152,Merit-Based,3.0,7000.0,Masters,Canada,SE
Scholarship153,Merit-Based,2.0,2500.0,BS,USA,Business Administration
Scholarship154,Need-Based,2.5,4000.0,BS,USA,Software Engineering
Scholarship155,Need-Based,3.0,5500.0,PhD,United States,SE
Scholarship156,Need-Based,3.0,9000.0,BS,United States,Medical Research
Scholarship157,Merit-Based,3.0,2500.0,BS,United States,Fine Arts
Scholarship158,Need-Based,3.0,7500.0,Masters,United States,Computer Science
Scholarship159,Need-Based,3.0,4000.0,BS,UK,SE
Scholarship160,Need-Based,2.5,9500.0,Masters,Pakistan,Business Administration
Scholarship161,Merit-Based,2.5,5500.0,PhD,Australia,Medical Science
Scholarship162,Merit-Based,3.0,500.0,Masters,USA,History
Scholarship163,Need-Based,3.0,7000.0,PhD,UK,CS
Scholarship164,Need-Based,2.5,9500.0,Masters,Pakistan,Medical Science
Scholarship165,Merit-Based,2.5,5500.0,PhD,USA,Physics
Scholarship166,Merit-Based,2.5,1000.0,Masters,Pakistan,History
Scholarship167,Merit-Based,3.0,500.0,Masters,United States,CS
Scholarship168,Merit-Based,3.0,4500.0,PhD,United Kingdom,Medical Research
Scholarship169,Need-Based,2.0,8000.0,BS,USA,Chemistry
Scholarship170,Need-Based,2.0,500.0,Masters,UK,Fine Arts
Scholarship171,Merit-Based,2.0,4000.0,PhD,UK,Chemistry
Scholarship172,Merit-Based,2.5,6500.0,BS,Australia,SE
Scholarship173,Merit-Based,2.5,3000.0,PhD,Pakistan,Business Administration
Scholarship174,Need-Based,2.0,2000.0,Masters,Australia,History
Scholarship175,Merit-Based,3.0,3000.0,BS,Australia,SE
Scholarship176,Merit-Based,2.0,6000.0,PhD,UK,Electrical Engineering
Scholarship177,Merit-Based,2.5,3000.0,Masters,Pakistan,Finance
Scholarship178,Merit-Based,2.0,8500.0,PhD,UK,Electrical Engineering
Scholarship179,Merit-Based,2.5,3000.0,BS,Canada,Electrical Engineering
Scholarship180,Merit-Based,3.0,7500.0,PhD,UK,History
Scholarship181,Merit-Based,2.0,4000.0,BS,United States,CS
Scholarship182,Need-Based,2.0,1000.0,Masters,Pakistan,Computer Science
Scholarship183,Need-Based,3.0,4500.0,BS,UK,Fine Arts
Scholarship184,Need-Based,2.0,7000.0,PhD,United States,Fine Arts
Scholarship185,Need-Based,3.0,4500.0,BS,Australia,CS
Scholarship186,Need-Based,2.5,9000.0,Masters,Canada,Software Engineering
Scholarship187,Need-Based,2.5,3500.0,BS,Pakistan,History
Scholarship188,Need-Based,2.0,4500.0,Masters,USA,Finance
Scholarship189,Need-Based,2.5,6500.0,BS,Pakistan,Fine Arts
Scholarship190,Need-Based,2.5,7000.0,Masters,United Kingdom,SE
Scholarship191,Need-Based,3.0,4500.0,BS,United Kingdom,Business Administration
Scholarship192,Need-Based,2.5,9500.0,BS,United Kingdom,Software Engineering
Scholarship193,Need-Based,2.5,7500.0,Masters,Canada,CS
Scholarship194,Need-Based,3.0,1000.0,Masters,UK,Finance
Scholarship195,Merit-Based,2.0,8500.0,Masters,UK,Finance
Scholarship196,Merit-Based,3.0,4000.0,PhD,United Kingdom,Finance
Scholarship197,Merit-Based,2.5,3500.0,PhD,United States,Electrical Engineering
Scholarship198,Need-Based,3.0,9500.0,BS,UK,Business Administration
Scholarship199,Merit-Based,3.0,9000.0,PhD,United Kingdom,Medical Science
Scholarship200,Merit-Based,2.5,6500.0,BS,UK,Software Engineering
Scholarship201,Need-Based,2.5,9500.0,Masters,United States,Chemistry
Scholarship202,Need-Based,2.5,6000.0,PhD,Canada,Medical Science
Scholarship203,Need-Based,2.0,6500.0,BS,Australia,Fine Arts
Scholarship204,Merit-Based,3.0,3000.0,Masters,Pakistan,Electrical Engineering
Scholarship205,Merit-Based,3.0,2500.0,BS,UK,Fine Arts
Scholarship206,Need-Based,3.0,5500.0,Masters,USA,Finance
Scholarship207,Need-Based,3.0,3000.0,PhD,United Kingdom,Medical Science
Scholarship208,Merit-Based,2.0,9500.0,PhD,United States,Software Engineering
Scholarship209,Need-Based,2.5,4500.0,BS,USA,Electrical Engineering
Scholarship210,Need-Based,3.0,5000.0,BS,United States,CS
Scholarship211,Need-Based,2.0,3500.0,Masters,Canada,Medical Science
Scholarship212,Need-Based,2.5,5500.0,Masters,Australia,Fine Arts
Scholarship213,Need-Based,2.0,1000.0,PhD,United States,History
Scholarship214,Need-Based,2.5,8500.0,BS,Australia,Fine Arts
Scholarship215,Need-Based,3.0,1500.0,PhD,Canada,Business Administration
Scholarship216,Merit-Based,2.0,3500.0,Masters,United States,Physics
Scholarship217,Need-Based,2.5,6000.0,PhD,Pakistan,History
Scholarship218,Merit-Based,2.0,2500.0,Masters,Canada,Medical Science
Scholarship219,Need-Based,2.0,7500.0,PhD,USA,Software Engineering
Scholarship220,Need-Based,2.5,1000.0,BS,USA,Finance
Scholarship221,Need-Based,2.0,1000.0,BS,Pakistan,Chemistry
Scholarship222,Need-Based,3.0,5500.0,Masters,Canada,History
Scholarship223,Need-Based,2.0,3500.0,PhD,Australia,History
Scholarship224,Merit-Based,2.5,6500.0,PhD,United Kingdom,Business Administration
Scholarship225,Merit-Based,2.0,5000.0,BS,Canada,Chemistry
Scholarship226,Merit-Based,2.0,3500.0,BS,UK,Software Engineering
Scholarship227,Merit-Based,2.0,2500.0,BS,Pakistan,Physics
Scholarship228,Need-Based,2.5,1000.0,Masters,Canada,Physics
Scholarship229,Need-Based,3.0,9000.0,PhD,United Kingdom,Chemistry
Scholarship230,Merit-Based,2.0,500.0,Masters,Australia,Chemistry
Scholarship231,Need-Based,3.0,7500.0,BS,Pakistan,Computer Science
Scholarship232,Merit-Based,2.5,500.0,BS,United States,Electrical Engineering
Scholarship233,Merit-Based,2.5,9000.0,BS,Canada,Medical Science
Scholarship234,Need-Based,2.5,9000.0,PhD,Pakistan,Chemistry
Scholarship235,Merit-Based,2.0,1500.0,BS,UK,Physics
Scholarship236,Merit-Based,2.0,9500.0,PhD,Australia,SE
Scholarship237,Merit-Based,2.0,3500.0,BS,United States,Electrical Engineering
Scholarship238,Merit-Based,2.0,8500.0,PhD,United States,SE
Scholarship239,Need-Based,2.0,7500.0,BS,UK,Computer Science
Scholarship240,Merit-Based,2.0,8500.0,BS,United Kingdom,CS
Scholarship241,Merit-Based,2.0,2500.0,PhD,Pakistan,CS
Scholarship242,Merit-Based,2.5,3500.0,BS,Pakistan,CS
Scholarship243,Need-Based,3.0,6500.0,Masters,United Kingdom,Physics
Scholarship244,Merit-Based,2.5,4000.0,PhD,Australia,CS
Scholarship245,Need-Based,2.0,500.0,Masters,USA,Medical Science
Scholarship246,Merit-Based,2.5,6000.0,PhD,USA,Fine Arts
Scholarship247,Need-Based,3.0,5000.0,BS,United Kingdom,Software Engineering
Scholarship248,Need-Based,2.5,6500.0,Masters,USA,Finance
Scholarship249,Merit-Based,3.0,6500.0,PhD,Australia,Business Administration
Scholarship250,Need-Based,2.0,7000.0,PhD,United States,History
Scholarship251,Need-Based,2.0,4500.0,Masters,UK,Business Administration
Scholarship252,Merit-Based,2.0,3500.0,Masters,UK,Software Engineering
Scholarship253,Merit-Based,2.5,500.0,Masters,United Kingdom,CS
Scholarship254,Need-Based,2.5,5500.0,Masters,USA,Electrical Engineering
Scholarship255,Need-Based,2.5,500.0,Masters,Australia,History
Scholarship256,Need-Based,3.0,6000.0,Masters,USA,Electrical Engineering
Scholarship257,Need-Based,2.5,5500.0,PhD,USA,Physics
Scholarship258,Merit-Based,2.0,9500.0,Masters,Pakistan,CS
Scholarship259,Merit-Based,3.0,1000.0,Masters,United States,Physics
Scholarship260,Need-Based,2.5,3000.0,PhD,UK,Medical Science
Scholarship261,Merit-Based,2.0,5500.0,Masters,United Kingdom,Electrical Engineering
Scholarship262,Merit-Based,3.0,5000.0,PhD,USA,Physics
Scholarship263,Need-Based,2.0,7000.0,PhD,Pakistan,Software Engineering
Scholarship264,Need-Based,2.0,2500.0,BS,UK,Electrical Engineering
Scholarship265,Need-Based,3.0,8000.0,Masters,UK,SE
Scholarship266,Merit-Based,2.0,2000.0,Masters,USA,History
Scholarship267,Need-Based,3.0,500.0,BS,United Kingdom,Finance
Scholarship268,Need-Based,3.0,9500.0,Masters,United States,Chemistry
Scholarship269,Need-Based,3.0,9000.0,BS,Pakistan,Medical Research
Scholarship270,Merit-Based,2.5,500.0,PhD,UK,History
Scholarship271,Need-Based,2.0,7000.0,BS,Canada,CS
Scholarship272,Merit-Based,2.0,2000.0,BS,Canada,Medical Science
Scholarship273,Need-Based,2.5,9000.0,PhD,United States,Medical Science
Scholarship274,Need-Based,2.5,500.0,BS,Canada,Business Administration
Scholarship275,Merit-Based,2.5,3500.0,PhD,United Kingdom,Fine Arts
Scholarship276,Need-Based,2.5,4500.0,Masters,United States,Chemistry
Scholarship277,Merit-Based,2.0,7500.0,PhD,United Kingdom,Chemistry
Scholarship278,Need-Based,2.0,2000.0,BS,USA,Physics
Scholarship279,Need-Based,2.0,7500.0,PhD,Canada,History
Scholarship280,Merit-Based,3.0,4000.0,Masters,Australia,Medical Science
Scholarship281,Merit-Based,3.0,4000.0,PhD,United Kingdom,CS
Scholarship282,Merit-Based,3.0,500.0,PhD,Canada,Finance
Scholarship283,Need-Based,3.0,9500.0,BS,Australia,Medical Science
Scholarship284,Merit-Based,2.5,6500.0,PhD,Canada,Electrical Engineering
Scholarship285,Merit-Based,2.5,9000.0,Masters,United Kingdom,Business Administration
Scholarship286,Merit-Based,2.0,3000.0,BS,USA,Business Administration
Scholarship287,Merit-Based,3.0,9000.0,PhD,Canada,Physics
Scholarship288,Merit-Based,2.0,2000.0,BS,Canada,Computer Science
Scholarship289,Merit-Based,2.5,6000.0,BS,Australia,Chemistry
Scholarship290,Merit-Based,3.0,4500.0,PhD,United Kingdom,Electrical Engineering
Scholarship291,Need-Based,3.0,8000.0,BS,United Kingdom,Software Engineering
Scholarship292,Merit-Based,3.0,9000.0,Masters,United Kingdom,Finance
Scholarship293,Need-Based,2.5,5500.0,PhD,United States,SE
Scholarship294,Merit-Based,3.0,4000.0,PhD,United Kingdom,Electrical Engineering
Scholarship295,Need-Based,2.0,2500.0,Masters,Australia,SE
Scholarship296,Merit-Based,3.0,9000.0,PhD,Canada,Finance
Scholarship297,Need-Based,3.0,4500.0,PhD,United States,Software Engineering
Scholarship298,Need-Based,2.0,5000.0,Masters,UK,Computer Science
Scholarship299,Merit-Based,2.5,1500.0,PhD,United Kingdom,Fine Arts
Scholarship300,Merit-Based,2.5,1000.0,PhD,USA,Finance
Scholarship301,Merit-Based,2.5,8000.0,PhD,Pakistan,Business Administration
Scholarship302,Need-Based,2.0,1000.0,PhD,Canada,Computer Science
Scholarship303,Need-Based,2.5,9500.0,Masters,Pakistan,Fine Arts
Scholarship304,Need-Based,2.5,5000.0,Masters,USA,CS
Scholarship305,Need-Based,2.5,3500.0,PhD,United Kingdom,CS
Scholarship306,Merit-Based,2.0,2500.0,BS,United States,Medical Science
Scholarship307,Merit-Based,2.0,2500.0,Masters,USA,Electrical Engineering
Scholarship308,Merit-Based,2.5,2000.0,PhD,USA,Software Engineering
Scholarship309,Need-Based,2.0,9500.0,PhD,Pakistan,Finance
Scholarship310,Need-Based,3.0,3000.0,BS,USA,Computer Science
Scholarship311,Merit-Based,2.5,3000.0,BS,United Kingdom,CS
Scholarship312,Merit-Based,2.0,4000.0,PhD,UK,SE
Scholarship313,Merit-Based,2.0,6000.0,BS,Australia,History
Scholarship314,Merit-Based,2.5,4000.0,BS,Australia,SE
Scholarship315,Merit-Based,2.0,4000.0,BS,Australia,Software Engineering
Scholarship316,Need-Based,2.5,4000.0,PhD,United Kingdom,Physics
Scholarship317,Need-Based,2.0,9500.0,PhD,United Kingdom,Finance
Scholarship318,Need-Based,2.0,5000.0,PhD,United Kingdom,Medical Research
Scholarship319,Need-Based,3.0,1000.0,BS,Canada,Finance
Scholarship320,Merit-Based,3.0,6000.0,BS,Pakistan,Software Engineering
Scholarship321,Merit-Based,2.5,2000.0,PhD,Pakistan,Physics
Scholarship322,Merit-Based,2.5,2500.0,PhD,United Kingdom,History
Scholarship323,Merit-Based,2.5,5000.0,Masters,United States,History
Scholarship324,Need-Based,2.5,3500.0,BS,United Kingdom,SE
Scholarship325,Need-Based,3.0,5500.0,PhD,USA,Medical Science
Scholarship326,Merit-Based,2.5,3000.0,PhD,UK,CS
Scholarship327,Merit-Based,2.0,9000.0,Masters,Canada,Medical Research
Scholarship328,Need-Based,2.5,2000.0,BS,UK,Finance
Scholarship329,Need-Based,3.0,9500.0,Masters,Canada,Chemistry
Scholarship330,Merit-Based,3.0,2000.0,PhD,UK,Fine Arts
Scholarship331,Merit-Based,2.5,2500.0,PhD,USA,Fine Arts
Scholarship332,Merit-Based,2.5,7500.0,BS,USA,Medical Science
Scholarship333,Need-Based,2.0,7500.0,Masters,Pakistan,SE
Scholarship334,Need-Based,2.0,2500.0,BS,United Kingdom,Software Engineering
Scholarship335,Merit-Based,3.0,1000.0,Masters,Canada,Electrical Engineering
Scholarship336,Merit-Based,2.0,5500.0,BS,United States,Fine Arts
Scholarship337,Merit-Based,2.5,6000.0,PhD,Australia,Computer Science
Scholarship338,Need-Based,2.0,5000.0,Masters,Pakistan,Electrical Engineering
Scholarship339,Merit-Based,2.5,2000.0,PhD,USA,Software Engineering
Scholarship340,Merit-Based,2.0,2500.0,Masters,UK,Finance
Scholarship341,Merit-Based,2.5,7500.0,Masters,USA,Chemistry
Scholarship342,Need-Based,2.0,7000.0,PhD,United Kingdom,Business Administration
Scholarship343,Need-Based,2.5,7500.0,Masters,Australia,Computer Science
Scholarship344,Merit-Based,2.0,2000.0,Masters,Canada,CS
Scholarship345,Need-Based,2.0,3500.0,Masters,Australia,Medical Science
Scholarship346,Merit-Based,2.0,8500.0,PhD,UK,Software Engineering
Scholarship347,Merit-Based,2.0,500.0,PhD,United States,Medical Science
Scholarship348,Merit-Based,2.0,3500.0,PhD,USA,Medical Research
Scholarship349,Need-Based,2.5,1000.0,Masters,Australia,Medical Research
Scholarship350,Merit-Based,3.0,1500.0,PhD,Canada,Medical Science
Scholarship351,Merit-Based,3.0,4000.0,Masters,Pakistan,Medical Science
Scholarship352,Need-Based,3.0,5500.0,PhD,Pakistan,Fine Arts
Scholarship353,Merit-Based,2.5,8000.0,Masters,United States,Business Administration
Scholarship354,Need-Based,2.5,500.0,PhD,Canada,Software Engineering
Scholarship355,Merit-Based,2.0,1500.0,Masters,United States,Fine Arts
Scholarship356,Need-Based,3.0,4000.0,Masters,United Kingdom,Business Administration
Scholarship357,Need-Based,3.0,6000.0,PhD,Pakistan,Electrical Engineering
Scholarship358,Merit-Based,3.0,2500.0,BS,Canada,Business Administration
Scholarship359,Need-Based,2.0,7500.0,PhD,United States,Medical Science
Scholarship360,Merit-Based,2.0,6500.0,PhD,UK,Finance
Scholarship361,Need-Based,2.0,500.0,Masters,United States,Medical Research
Scholarship362,Merit-Based,2.5,7500.0,BS,United Kingdom,Business Administration
Scholarship363,Merit-Based,3.0,1000.0,PhD,USA,Electrical Engineering
Scholarship364,Need-Based,2.5,6000.0,BS,United Kingdom,SE
Scholarship365,Merit-Based,2.0,3000.0,PhD,Canada,History
Scholarship366,Need-Based,2.0,2000.0,PhD,United Kingdom,Business Administration
Scholarship367,Need-Based,2.0,4500.0,BS,United States,Computer Science
Scholarship368,Need-Based,3.0,8000.0,BS,Canada,Business Administration
Scholarship369,Merit-Based,2.0,3500.0,Masters,UK,Finance
Scholarship370,Need-Based,3.0,8500.0,PhD,Australia,Electrical Engineering
Scholarship371,Merit-Based,3.0,9000.0,BS,United Kingdom,Medical Research
Scholarship372,Merit-Based,2.0,6000.0,PhD,Australia,Business Administration
Scholarship373,Merit-Based,2.0,3000.0,PhD,Australia,Medical Research
Scholarship374,Need-Based,2.5,2000.0,Masters,Canada,Electrical Engineering
Scholarship375,Need-Based,2.0,5500.0,PhD,USA,Computer Science
Scholarship376,Merit-Based,3.0,2500.0,BS,Pakistan,Software Engineering
Scholarship377,Merit-Based,2.0,9000.0,PhD,United States,CS
Scholarship378,Need-Based,2.5,2500.0,Masters,United States,Medical Research
Scholarship379,Need-Based,2.5,1000.0,Masters,Australia,Medical Science
Scholarship380,Need-Based,2.5,500.0,PhD,UK,Software Engineering
Scholarship381,Merit-Based,2.5,5000.0,PhD,Canada,Chemistry
Scholarship382,Need-Based,2.5,6000.0,Masters,Canada,Physics
Scholarship383,Merit-Based,2.0,3500.0,Masters,Australia,Finance
Scholarship384,Merit-Based,3.0,8000.0,BS,Australia,Fine Arts
Scholarship385,Need-Based,2.5,7000.0,Masters,USA,CS
Scholarship386,Merit-Based,2.0,3000.0,Masters,United Kingdom,Chemistry
