Name,CGPA,Budget_Preference,Education_Level,Country_Preference,Domain_Area,Scholarship_Name,Scholarship_Type,Scholarship_Budget,Education_Preference,Country_of_Scholarship,Eligible_Domain,Target
Person1593,2.93,9000,Master,Australia,Electrical Engineering,Scholarship1593,Merit-Based,9000,PhD,UK,History,0
Person273,2.99,5000,Master,USA,Business Administration,Scholarship273,Need-Based,1500,PhD,Canada,Medical Science,0
Person2008,3.89,5500,PhD,Canada,Business Administration,Scholarship2008,Need-Based,4500,Bachelor,Australia,Medical Research,0
Person774,3.79,5500,Master,UK,Medical Science,Scholarship774,Merit-Based,5000,Bachelor,UK,Finance,0
Person2468,2.54,8500,Bachelor,Australia,Medical Science,Scholarship2468,Merit-Based,5000,PhD,Canada,Electrical Engineering,0
Person2726,3.1,9000,Master,UK,History,Scholarship2726,Merit-Based,6500,PhD,UK,Business Administration,0
Person2546,3.5,6500,Bachelor,Canada,History,Scholarship2546,Need-Based,5500,Bachelor,UK,Electrical Engineering,0
Person2291,2.82,1500,Bachelor,Canada,History,Scholarship2291,Merit-Based,9500,Master,UK,Computer Science,0
Person2612,3.07,7500,Master,Australia,Electrical Engineering,Scholarship2612,Merit-Based,5000,Master,Australia,Fine Arts,0
Person2250,2.85,8000,Master,UK,Medical Science,Scholarship2250,Merit-Based,4000,Bachelor,Australia,Physics,0
Person945,3.25,4500,Bachelor,Canada,Electrical Engineering,Scholarship945,Merit-Based,6000,PhD,UK,Computer Science,0
Person435,2.51,1500,PhD,USA,Business Administration,Scholarship435,Need-Based,3500,Master,Australia,Fine Arts,0
Person558,2.5,1500,Bachelor,Canada,Chemistry,Scholarship558,Need-Based,1000,Bachelor,UK,Chemistry,1
Person1977,3.76,2000,Bachelor,Canada,Fine Arts,Scholarship1977,Need-Based,4000,PhD,Canada,Chemistry,0
Person897,3.02,500,Master,Canada,Medical Science,Scholarship897,Merit-Based,3000,Master,USA,Physics,0
Person2144,3.96,2500,Master,USA,Finance,Scholarship2144,Merit-Based,4000,PhD,Canada,Medical Science,0
Person2348,3.46,9000,PhD,USA,Fine Arts,Scholarship2348,Need-Based,3500,PhD,Australia,Medical Science,0
Person1706,3.95,9500,PhD,USA,Medical Research,Scholarship1706,Merit-Based,4500,PhD,UK,Computer Science,0
Person1813,3.66,5000,PhD,UK,Finance,Scholarship1813,Merit-Based,8000,Master,Canada,Medical Research,0
Person2679,2.74,2000,PhD,Canada,Medical Research,Scholarship2679,Merit-Based,6500,Master,UK,Medical Research,0
Person1283,3.61,6000,PhD,UK,History,Scholarship1283,Merit-Based,9500,PhD,UK,Fine Arts,0
Person1942,3.68,2000,PhD,Canada,Medical Science,Scholarship1942,Merit-Based,5000,Bachelor,Canada,Fine Arts,0
Person2367,2.81,6000,Bachelor,UK,Computer Science,Scholarship2367,Need-Based,2500,Master,UK,Business Administration,0
Person202,2.51,3500,Bachelor,Australia,Business Administration,Scholarship202,Need-Based,5500,Bachelor,UK,Fine Arts,0
Person2619,2.87,9000,PhD,UK,Electrical Engineering,Scholarship2619,Need-Based,8000,PhD,Australia,Medical Science,0
Person1692,3.42,500,PhD,Australia,Computer Science,Scholarship1692,Merit-Based,5500,PhD,UK,Electrical Engineering,0
Person144,3.75,9000,Bachelor,Canada,History,Scholarship144,Merit-Based,9000,PhD,Australia,Physics,0
Person943,2.94,2500,Bachelor,Canada,Medical Science,Scholarship943,Need-Based,7000,PhD,USA,Finance,0
Person1465,3.19,9500,Bachelor,Australia,Business Administration,Scholarship1465,Need-Based,3000,Bachelor,Australia,Fine Arts,0
Person814,2.87,7500,PhD,USA,Finance,Scholarship814,Need-Based,9500,Bachelor,UK,Physics,0
Person2251,3.32,3500,PhD,Canada,Medical Science,Scholarship2251,Merit-Based,2500,PhD,Canada,Medical Research,0
Person2075,3.89,2000,PhD,Canada,Chemistry,Scholarship2075,Merit-Based,7500,Bachelor,USA,Medical Research,0
Person1220,2.95,500,Bachelor,UK,Medical Research,Scholarship1220,Need-Based,3500,PhD,Canada,Electrical Engineering,0
Person2585,3.32,9000,PhD,UK,Finance,Scholarship2585,Need-Based,1000,Bachelor,Australia,History,0
Person551,2.54,8000,Bachelor,Australia,History,Scholarship551,Need-Based,7500,Bachelor,UK,History,1
Person1741,3.17,5500,Master,USA,Medical Science,Scholarship1741,Merit-Based,6000,PhD,Canada,Medical Research,0
Person208,3.37,9500,Bachelor,UK,Finance,Scholarship208,Need-Based,2000,Master,UK,Chemistry,0
Person2827,2.53,8500,PhD,Canada,Chemistry,Scholarship2827,Need-Based,1000,Master,USA,Electrical Engineering,0
Person750,2.76,7000,Master,USA,Finance,Scholarship750,Need-Based,3500,Master,Canada,Fine Arts,0
Person1202,3.68,8000,Master,Australia,Fine Arts,Scholarship1202,Merit-Based,1500,PhD,Australia,Chemistry,0
Person2737,3.87,9500,PhD,UK,Chemistry,Scholarship2737,Need-Based,1500,Bachelor,Australia,Business Administration,0
Person2787,2.79,500,PhD,Australia,Chemistry,Scholarship2787,Merit-Based,3500,Bachelor,USA,Finance,0
Person2015,2.6,3000,PhD,Australia,History,Scholarship2015,Merit-Based,9000,Master,Canada,Computer Science,0
Person2927,3.42,500,Master,UK,Computer Science,Scholarship2927,Need-Based,4000,PhD,UK,Fine Arts,0
Person1271,2.78,6500,PhD,Canada,Finance,Scholarship1271,Need-Based,5000,PhD,Australia,Chemistry,0
Person46,2.52,2000,PhD,Australia,Computer Science,Scholarship46,Merit-Based,3500,Bachelor,Canada,Computer Science,0
Person1963,3.1,4000,Master,Canada,Computer Science,Scholarship1963,Need-Based,5000,PhD,Australia,History,0
Person2922,3.52,2000,Bachelor,USA,Business Administration,Scholarship2922,Need-Based,4500,PhD,UK,Business Administration,0
Person1403,3.58,7000,PhD,UK,Computer Science,Scholarship1403,Merit-Based,7500,Master,USA,Finance,0
Person141,3.19,8500,PhD,USA,Physics,Scholarship141,Need-Based,5000,Master,Canada,Medical Research,0
Person1907,2.61,3000,PhD,UK,History,Scholarship1907,Need-Based,5500,PhD,Canada,Finance,0
Person827,2.85,6000,PhD,Canada,History,Scholarship827,Merit-Based,4500,PhD,Australia,Computer Science,0
Person856,3.93,5000,PhD,Canada,History,Scholarship856,Merit-Based,2000,Bachelor,Australia,Physics,0
Person704,3.07,1500,PhD,USA,Medical Science,Scholarship704,Merit-Based,2000,Master,UK,Electrical Engineering,0
Person2013,2.6,4500,Bachelor,USA,Business Administration,Scholarship2013,Merit-Based,4000,Master,Australia,Electrical Engineering,0
Person2259,3.25,7000,PhD,UK,Electrical Engineering,Scholarship2259,Need-Based,3500,PhD,USA,Chemistry,0
Person2862,3.45,9500,PhD,UK,Physics,Scholarship2862,Merit-Based,9500,PhD,UK,Electrical Engineering,0
Person1381,3.28,3500,Master,USA,Chemistry,Scholarship1381,Merit-Based,9000,Master,USA,History,0
Person724,3.67,3500,Bachelor,Canada,Chemistry,Scholarship724,Merit-Based,6000,Master,Australia,Electrical Engineering,0
Person900,2.51,5500,PhD,USA,Medical Research,Scholarship900,Need-Based,7000,Master,USA,Medical Science,0
Person2287,2.64,7500,Master,Australia,Physics,Scholarship2287,Need-Based,5500,Master,Australia,Medical Research,0
Person1762,3.47,500,Master,UK,Chemistry,Scholarship1762,Need-Based,8500,Bachelor,UK,Business Administration,0
Person1759,3.32,1000,PhD,UK,Business Administration,Scholarship1759,Merit-Based,3500,Master,UK,Physics,0
Person1870,3.0,2000,Bachelor,Australia,Fine Arts,Scholarship1870,Need-Based,4500,Master,UK,Computer Science,0
Person63,3.48,8000,PhD,USA,Physics,Scholarship63,Need-Based,5500,PhD,Australia,Physics,1
Person100,2.54,9000,Bachelor,Australia,Computer Science,Scholarship100,Merit-Based,6000,Bachelor,Australia,Medical Science,0
Person1784,3.58,6500,PhD,Australia,Fine Arts,Scholarship1784,Merit-Based,6500,Master,Canada,Finance,0
Person2549,2.78,2500,Master,UK,Computer Science,Scholarship2549,Merit-Based,8500,Master,Canada,Chemistry,0
Person1393,3.35,4500,Bachelor,Canada,Medical Research,Scholarship1393,Merit-Based,3000,Master,USA,Fine Arts,0
Person2279,3.24,7500,Master,Australia,Electrical Engineering,Scholarship2279,Need-Based,9500,PhD,UK,Electrical Engineering,0
Person1733,3.52,3500,Master,Canada,Chemistry,Scholarship1733,Merit-Based,1000,PhD,Australia,Medical Research,0
Person229,2.68,5000,PhD,USA,Chemistry,Scholarship229,Need-Based,500,PhD,UK,Chemistry,1
Person2071,3.37,2500,PhD,Canada,Fine Arts,Scholarship2071,Need-Based,1000,Bachelor,USA,Medical Research,0
Person2575,2.52,6500,Master,Canada,Physics,Scholarship2575,Merit-Based,2000,PhD,Canada,History,0
Person848,3.98,4500,Bachelor,Canada,Finance,Scholarship848,Need-Based,3000,Master,USA,Computer Science,0
Person140,3.41,9500,PhD,Australia,Fine Arts,Scholarship140,Merit-Based,1000,PhD,UK,History,0
Person1637,3.33,2000,PhD,UK,Chemistry,Scholarship1637,Need-Based,2500,Master,Canada,Business Administration,0
Person1345,2.55,8000,PhD,Australia,Physics,Scholarship1345,Need-Based,500,PhD,USA,Business Administration,0
Person909,3.6,1500,Bachelor,Australia,Medical Research,Scholarship909,Need-Based,3000,Master,Canada,History,0
Person2708,3.91,5000,PhD,Canada,Medical Research,Scholarship2708,Need-Based,9000,PhD,Australia,Fine Arts,0
Person1085,3.11,6500,Master,USA,Electrical Engineering,Scholarship1085,Need-Based,6500,Bachelor,Australia,Medical Research,0
Person2399,3.6,7500,Master,UK,Business Administration,Scholarship2399,Need-Based,4000,PhD,USA,Medical Research,0
Person1736,3.28,8000,Master,Canada,Business Administration,Scholarship1736,Need-Based,3500,PhD,Australia,Fine Arts,0
Person1532,3.04,9000,PhD,USA,Fine Arts,Scholarship1532,Need-Based,5500,PhD,Australia,Medical Science,0
Person2625,3.24,2500,PhD,UK,Fine Arts,Scholarship2625,Need-Based,7000,Bachelor,Canada,Business Administration,0
Person2328,3.66,8500,Master,UK,History,Scholarship2328,Need-Based,9500,PhD,UK,Computer Science,0
Person2207,3.94,7500,Master,UK,Computer Science,Scholarship2207,Merit-Based,3000,Master,UK,History,0
Person87,3.24,4500,PhD,Australia,Fine Arts,Scholarship87,Merit-Based,8000,PhD,USA,History,0
Person2124,2.72,7000,Master,UK,Computer Science,Scholarship2124,Need-Based,4500,Master,USA,Electrical Engineering,0
Person69,3.66,4500,Master,UK,Chemistry,Scholarship69,Need-Based,500,PhD,Australia,Medical Research,0
Person573,3.57,9000,Bachelor,USA,Medical Research,Scholarship573,Merit-Based,2000,Master,Australia,Electrical Engineering,0
Person1188,3.91,1500,Bachelor,USA,Electrical Engineering,Scholarship1188,Merit-Based,4000,PhD,Australia,Electrical Engineering,0
Person428,3.18,6000,Bachelor,Australia,Finance,Scholarship428,Need-Based,6500,PhD,Australia,Computer Science,0
Person1690,2.92,8000,PhD,USA,Fine Arts,Scholarship1690,Merit-Based,8500,Master,USA,Chemistry,0
Person203,3.51,9500,Master,Canada,Medical Science,Scholarship203,Merit-Based,2500,Bachelor,USA,Medical Research,0
Person850,2.79,6500,Master,USA,Medical Research,Scholarship850,Merit-Based,2000,Bachelor,Canada,Medical Research,0
Person2502,3.84,7000,Master,UK,Fine Arts,Scholarship2502,Need-Based,7500,Bachelor,UK,Finance,0
Person580,3.67,3000,PhD,USA,Fine Arts,Scholarship580,Need-Based,4500,PhD,Canada,Computer Science,0
Person2948,3.82,4000,Master,Australia,History,Scholarship2948,Need-Based,4000,Bachelor,Canada,Medical Science,0
Person2272,3.33,2000,Bachelor,Canada,Fine Arts,Scholarship2272,Need-Based,4000,Bachelor,Canada,History,0
Person2573,2.51,7500,Bachelor,UK,Medical Research,Scholarship2573,Merit-Based,1500,Bachelor,Australia,Electrical Engineering,0
Person2033,3.18,9000,PhD,Canada,Finance,Scholarship2033,Need-Based,3000,Master,UK,Medical Research,0
Person2588,3.29,1500,Bachelor,UK,Physics,Scholarship2588,Merit-Based,6500,Master,Canada,Chemistry,0
Person2742,3.13,1500,PhD,Australia,Physics,Scholarship2742,Merit-Based,8000,Master,Australia,Business Administration,0
Person645,3.48,6500,Bachelor,USA,Chemistry,Scholarship645,Merit-Based,3500,PhD,Canada,Medical Research,0
Person436,2.85,6000,Bachelor,Canada,Finance,Scholarship436,Need-Based,7000,PhD,UK,Chemistry,0
Person2389,3.82,1000,Master,USA,History,Scholarship2389,Merit-Based,6500,PhD,Australia,Electrical Engineering,0
Person1361,3.92,1000,PhD,USA,Electrical Engineering,Scholarship1361,Merit-Based,4500,Master,UK,Electrical Engineering,0
Person990,3.79,3500,Bachelor,UK,Finance,Scholarship990,Merit-Based,2500,Master,UK,Fine Arts,0
Person1359,3.5,2500,PhD,USA,Finance,Scholarship1359,Need-Based,3500,Bachelor,Australia,Business Administration,0
Person884,2.67,8500,Bachelor,Australia,Computer Science,Scholarship884,Need-Based,1000,Master,USA,Fine Arts,0
Person1625,2.84,3500,Master,Canada,History,Scholarship1625,Need-Based,3000,Master,USA,Fine Arts,0
Person1444,2.88,500,Bachelor,Australia,Electrical Engineering,Scholarship1444,Merit-Based,9500,Master,Canada,Finance,0
Person562,2.73,1000,PhD,Australia,Finance,Scholarship562,Merit-Based,8500,PhD,USA,Business Administration,0
Person691,2.88,5500,Bachelor,Australia,Computer Science,Scholarship691,Need-Based,4500,PhD,Canada,Medical Science,0
Person876,3.23,2000,Bachelor,UK,Electrical Engineering,Scholarship876,Need-Based,3000,PhD,UK,Physics,0
Person402,3.38,1500,Master,Australia,Medical Science,Scholarship402,Need-Based,9000,PhD,Australia,Finance,0
Person111,3.03,2500,PhD,Canada,Chemistry,Scholarship111,Need-Based,6000,PhD,UK,Chemistry,1
Person1764,3.77,8000,Bachelor,UK,Electrical Engineering,Scholarship1764,Need-Based,3500,Bachelor,UK,Physics,0
Person205,2.86,8000,PhD,Australia,Medical Research,Scholarship205,Merit-Based,4000,PhD,USA,History,0
Person1318,2.8,1000,PhD,UK,Medical Science,Scholarship1318,Merit-Based,500,Bachelor,UK,Chemistry,0
Person627,3.14,7000,Bachelor,UK,Business Administration,Scholarship627,Merit-Based,4500,Master,Australia,Electrical Engineering,0
Person2407,3.81,9000,Master,UK,History,Scholarship2407,Merit-Based,8000,Bachelor,Australia,Medical Science,0
Person2436,2.92,7000,PhD,Canada,Finance,Scholarship2436,Merit-Based,1500,Bachelor,USA,Computer Science,0
Person1008,3.58,2000,Bachelor,Canada,Medical Research,Scholarship1008,Merit-Based,6500,Master,USA,Business Administration,0
Person1109,2.91,5000,Bachelor,Canada,Business Administration,Scholarship1109,Merit-Based,2000,Master,USA,Medical Science,0
Person822,3.57,8500,Bachelor,UK,Medical Research,Scholarship822,Need-Based,8000,Master,USA,Chemistry,0
Person13,3.26,500,PhD,USA,History,Scholarship13,Need-Based,7500,Master,USA,Business Administration,0
Person2811,3.64,7500,Bachelor,Australia,Fine Arts,Scholarship2811,Merit-Based,4500,PhD,Canada,Computer Science,0
Person2428,2.92,6000,Bachelor,USA,Finance,Scholarship2428,Need-Based,7500,Bachelor,USA,History,0
Person176,2.86,3000,Bachelor,USA,Computer Science,Scholarship176,Merit-Based,5500,PhD,UK,History,0
Person1928,3.38,2500,PhD,UK,History,Scholarship1928,Need-Based,2500,Master,USA,Business Administration,0
Person1408,3.03,9000,PhD,USA,Computer Science,Scholarship1408,Merit-Based,500,Bachelor,Australia,Physics,0
Person2838,2.83,4000,PhD,Australia,History,Scholarship2838,Merit-Based,3500,Bachelor,Australia,Business Administration,0
Person1964,3.5,7500,Bachelor,Canada,Electrical Engineering,Scholarship1964,Need-Based,6000,Master,Canada,Medical Research,0
Person2455,3.15,6500,Bachelor,USA,Fine Arts,Scholarship2455,Need-Based,2500,Bachelor,UK,Finance,0
Person803,3.43,500,Bachelor,Australia,Business Administration,Scholarship803,Need-Based,7000,Master,UK,Chemistry,0
Person1966,2.89,7000,Master,Australia,Fine Arts,Scholarship1966,Need-Based,6500,Bachelor,USA,Medical Research,0
Person1260,2.87,1500,PhD,Australia,Finance,Scholarship1260,Merit-Based,8000,Bachelor,UK,Finance,0
Person1508,3.72,1500,Bachelor,USA,History,Scholarship1508,Merit-Based,1500,Bachelor,UK,History,1
Person2831,3.46,8000,Master,UK,History,Scholarship2831,Merit-Based,3000,Master,UK,Medical Research,0
Person2728,3.34,5500,Master,Australia,Business Administration,Scholarship2728,Need-Based,3000,Bachelor,USA,Business Administration,0
Person576,2.78,3500,Master,Australia,Medical Research,Scholarship576,Need-Based,2000,PhD,UK,History,0
Person211,2.65,9500,Bachelor,Canada,Chemistry,Scholarship211,Need-Based,4000,Bachelor,Australia,History,0
Person734,2.94,7000,Bachelor,USA,Fine Arts,Scholarship734,Merit-Based,4500,Master,Canada,Medical Research,0
Person2632,2.67,5000,PhD,UK,Finance,Scholarship2632,Need-Based,9500,Master,UK,Business Administration,0
Person1173,3.72,9000,Bachelor,Canada,Medical Research,Scholarship1173,Merit-Based,9000,PhD,Canada,Computer Science,0
Person2265,2.85,1500,Bachelor,UK,Physics,Scholarship2265,Merit-Based,9000,Master,Australia,Business Administration,0
Person913,3.95,5000,Bachelor,UK,Medical Research,Scholarship913,Need-Based,9000,PhD,Australia,Business Administration,0
Person1981,3.6,6000,Bachelor,USA,Physics,Scholarship1981,Merit-Based,8000,PhD,UK,History,0
Person962,3.82,9500,Master,USA,Physics,Scholarship962,Need-Based,6500,Master,UK,Physics,1
Person2584,2.72,6500,Master,Australia,Medical Research,Scholarship2584,Merit-Based,8000,PhD,Canada,Electrical Engineering,0
Person2174,3.56,4500,Master,Canada,Fine Arts,Scholarship2174,Need-Based,1500,Bachelor,Canada,Medical Research,0
Person1811,3.97,2000,Master,Australia,Finance,Scholarship1811,Merit-Based,3500,Master,Australia,Electrical Engineering,0
Person534,2.92,2000,Master,Canada,Electrical Engineering,Scholarship534,Need-Based,9000,Bachelor,USA,Medical Research,0
Person2950,2.85,9500,Bachelor,UK,Physics,Scholarship2950,Merit-Based,5500,Bachelor,USA,Medical Science,0
Person1921,3.53,4000,PhD,UK,Fine Arts,Scholarship1921,Need-Based,5500,PhD,USA,Chemistry,0
Person2675,2.66,5500,Master,UK,Finance,Scholarship2675,Need-Based,3500,Bachelor,UK,History,0
Person2300,2.72,9500,Master,USA,Business Administration,Scholarship2300,Need-Based,1500,PhD,Australia,Fine Arts,0
Person2072,2.5,7000,Master,Canada,Computer Science,Scholarship2072,Merit-Based,4500,Bachelor,USA,Fine Arts,0
Person811,3.59,1000,Bachelor,UK,Finance,Scholarship811,Need-Based,9000,Master,Australia,Medical Science,0
Person2696,3.25,1000,Bachelor,Canada,Chemistry,Scholarship2696,Need-Based,3000,PhD,USA,Physics,0
Person2471,2.82,3000,Bachelor,Canada,Business Administration,Scholarship2471,Need-Based,1000,Bachelor,Canada,Business Administration,1
Person805,2.52,3500,Master,USA,Fine Arts,Scholarship805,Need-Based,4000,Master,UK,Medical Science,0
Person1069,3.97,1500,Bachelor,UK,Fine Arts,Scholarship1069,Merit-Based,9000,Bachelor,UK,Computer Science,0
Person2881,2.99,3000,PhD,UK,Business Administration,Scholarship2881,Need-Based,1500,Bachelor,UK,Fine Arts,0
Person317,2.64,1500,Master,Canada,Finance,Scholarship317,Need-Based,3000,Bachelor,Australia,Physics,0
Person1149,2.61,3000,PhD,UK,History,Scholarship1149,Merit-Based,7000,Master,Canada,Computer Science,0
Person1176,3.22,6500,Bachelor,UK,Physics,Scholarship1176,Need-Based,8500,Master,USA,Chemistry,0
Person700,3.97,8000,Bachelor,UK,Finance,Scholarship700,Merit-Based,7500,PhD,Australia,Medical Research,0
Person1190,2.87,9000,Master,UK,Business Administration,Scholarship1190,Need-Based,1000,Bachelor,Canada,Physics,0
Person1311,2.73,2000,PhD,Australia,Medical Research,Scholarship1311,Need-Based,4000,PhD,USA,Medical Science,0
Person187,3.09,2000,PhD,UK,Medical Science,Scholarship187,Merit-Based,5000,PhD,USA,Electrical Engineering,0
Person1011,3.84,2000,PhD,Canada,Business Administration,Scholarship1011,Need-Based,5000,Bachelor,Canada,Computer Science,0
Person1932,3.68,7500,Master,Australia,Medical Research,Scholarship1932,Need-Based,500,Master,Australia,Finance,0
Person1083,3.72,2500,PhD,UK,Computer Science,Scholarship1083,Merit-Based,8500,PhD,Australia,Fine Arts,0
Person1969,3.9,8000,PhD,UK,History,Scholarship1969,Need-Based,7000,Bachelor,USA,Chemistry,0
Person5,3.52,3000,Bachelor,USA,Physics,Scholarship5,Need-Based,1500,PhD,Canada,Fine Arts,0
Person2947,2.68,9500,Master,UK,Electrical Engineering,Scholarship2947,Need-Based,6500,PhD,Canada,Electrical Engineering,0
Person1249,2.84,2500,Bachelor,USA,Computer Science,Scholarship1249,Merit-Based,1000,PhD,Australia,Finance,0
Person2286,2.86,3000,PhD,Canada,Electrical Engineering,Scholarship2286,Need-Based,4000,PhD,Australia,History,0
Person1258,3.62,2000,Bachelor,UK,Electrical Engineering,Scholarship1258,Need-Based,8500,Master,UK,Business Administration,0
Person2350,2.83,6500,Bachelor,USA,Chemistry,Scholarship2350,Merit-Based,1000,Bachelor,Canada,History,0
Person2932,3.17,2500,Master,Australia,History,Scholarship2932,Merit-Based,3500,Master,Australia,Finance,0
Person2808,2.79,8000,PhD,Canada,Electrical Engineering,Scholarship2808,Need-Based,3000,Master,USA,Computer Science,0
Person2746,2.75,500,Master,UK,Business Administration,Scholarship2746,Need-Based,2500,Master,USA,Electrical Engineering,0
Person2537,3.46,500,Bachelor,USA,Computer Science,Scholarship2537,Merit-Based,8000,Bachelor,UK,Electrical Engineering,0
Person186,3.9,4000,Master,USA,Electrical Engineering,Scholarship186,Merit-Based,8500,Master,Canada,Business Administration,0
Person1823,3.91,7000,PhD,UK,Medical Research,Scholarship1823,Merit-Based,8500,Master,UK,Fine Arts,0
Person2239,3.19,7500,Master,USA,Chemistry,Scholarship2239,Merit-Based,1000,Bachelor,Australia,Business Administration,0
Person2770,2.92,1000,Master,Australia,Physics,Scholarship2770,Need-Based,7500,Master,Canada,History,0
Person1351,3.39,1000,Master,USA,Finance,Scholarship1351,Merit-Based,4000,PhD,UK,Fine Arts,0
Person1124,3.03,2000,Master,Canada,Computer Science,Scholarship1124,Merit-Based,6000,Master,Canada,Fine Arts,0
Person2828,2.68,1000,Master,Canada,History,Scholarship2828,Need-Based,1000,Master,Australia,Medical Science,0
Person2852,3.29,4000,PhD,Australia,Fine Arts,Scholarship2852,Need-Based,6500,Master,Canada,Computer Science,0
Person2108,3.42,8000,Bachelor,Australia,Finance,Scholarship2108,Need-Based,1000,Bachelor,Australia,Physics,0
Person1730,3.74,6000,Bachelor,Canada,Computer Science,Scholarship1730,Merit-Based,8500,Master,UK,Electrical Engineering,0
Person2721,3.34,8000,Bachelor,Canada,Electrical Engineering,Scholarship2721,Merit-Based,7000,Master,Canada,Medical Research,0
Person1659,3.04,9500,Bachelor,USA,Electrical Engineering,Scholarship1659,Merit-Based,2500,Bachelor,UK,Chemistry,0
Person2176,2.54,1500,Master,Australia,Finance,Scholarship2176,Merit-Based,9500,Bachelor,UK,Finance,0
Person60,3.69,6500,Master,Australia,Electrical Engineering,Scholarship60,Need-Based,4000,Bachelor,Canada,Medical Science,0
Person62,3.87,9500,PhD,Australia,Physics,Scholarship62,Merit-Based,8000,PhD,USA,Medical Research,0
Person2704,2.59,7500,PhD,Canada,Business Administration,Scholarship2704,Merit-Based,7500,PhD,Australia,Finance,0
Person1510,3.21,500,PhD,Australia,Computer Science,Scholarship1510,Need-Based,2000,Master,Canada,Medical Science,0
Person1050,3.96,3000,Bachelor,USA,Physics,Scholarship1050,Need-Based,8000,Master,UK,Electrical Engineering,0
Person485,2.78,500,PhD,Australia,Medical Research,Scholarship485,Merit-Based,3000,Bachelor,UK,Electrical Engineering,0
Person2674,2.54,3500,PhD,Australia,Chemistry,Scholarship2674,Need-Based,3500,Bachelor,UK,Chemistry,0
Person731,3.62,1000,Bachelor,Australia,Computer Science,Scholarship731,Need-Based,2500,Master,Australia,Electrical Engineering,0
Person2362,3.4,8500,Master,UK,Business Administration,Scholarship2362,Need-Based,1000,Master,Canada,Medical Science,0
Person2409,2.99,6000,Master,UK,Computer Science,Scholarship2409,Merit-Based,7000,Master,Canada,Physics,0
Person2888,2.76,7000,Bachelor,Canada,Finance,Scholarship2888,Merit-Based,1000,PhD,USA,Computer Science,0
Person775,2.76,3000,PhD,Australia,Electrical Engineering,Scholarship775,Merit-Based,500,Bachelor,USA,Business Administration,0
